ID,Name,URL,Specialty,Location,Hospital,Biography
1,"Sarah R. Violette, APRN",https://www.ynhhs.org/physicians/sarah-r-violette,Psychiatry,New Haven,YALE,"No biography provided. Are you Sarah R. Violette, APRN? Update your profile"
2,"Peter T. Morgan, MD",https://www.ynhhs.org/physicians/peter-t-morgan,Psychiatry,"Trumbull, Bridgeport",YALE,"Peter Morgan, MD, PhD, is chair of psychiatry at Yale New Haven Health’s Bridgeport Hospital. Dr. Morgan says he grew up interested in both physics and medicine.  “I like to understand how the world works, which is why I fell in love with physics,” he says. “As for psychiatry, people have always come to me to help fix things and I have enjoyed helping others.”  Dr. Morgan says the best part of his job is feeling like he can make a positive difference in patients’ lives. “Many of the patients we serve have run into issues of not having access to treatment, being rejected from treatment, or not being comfortable accepting treatment,” he says. “When that happens, we need to find ways to get them in or bring them back. Seeing their lives improve as a result is very rewarding.”  By framing every patient interaction as having the potential to be positive or negative from a psychotherapeutic perspective, Dr. Morgan says he is mindful that how patient care is delivered affects how patients respond to treatment. “You want to have a trusting relationship, and I like to be thoughtful about every interaction going toward promoting care and building that relationship,” he says.  Dr. Morgan’s research interests include the neurophysiology of substance dependence with a focus on sleep disturbances in the setting of chronic substance use and mental illnesses."
3,"Hande Omur, MD",https://www.ynhhs.org/physicians/hande-omur,Psychiatry,Greenwich,YALE,"Meet Dr. Hande Omur, a compassionate and board-certified psychiatrist specializing in Psychosomatic Medicine (Consultation-Liaison Psychiatry). Her professional journey reflects a dedication to addressing psychiatric challenges within the context of medical illnesses, alongside a focus on ADHD, PTSD, depression, and anxiety. 
Dr. Omur's journey began with earning her medical degree from Hacettepe University, recognized as Turkey's top-ranked university, in 2007. Following her education, she served as a family physician and emergency room physician in rural areas of Turkey, catering to underserved populations. During this time, her calling for psychiatry became evident, leading her to complete her residency at Maimonides Medical Center in Brooklyn, NY, in 2015, followed by a fellowship at Memorial Sloan Kettering Cancer Center/Weill Cornell NYP in Manhattan, NY in 2016.Driven by a passion for teaching, from 2016 to 2019, Dr. Omur assumed the role of a Consultation-Liaison attending at Westchester Medical Center (WMC), NY. She also held the position of Assistant Professor of Psychiatry and Behavioral Sciences at New York Medical College. Her commitment to education extended to working closely with medical students, residents, and fellows from Psychiatry, Neurology, and Internal Medicine.In 2019, Dr. Omur took a significant step by establishing her private practice in Westchester, NY, realizing her dream of offering long-term psychotherapy, involving EMDR, to patients in NY, NJ, and CT. Despite the challenges posed by the onset of COVID, she seamlessly transitioned to working from home and discovered immense satisfaction in this approach. 
Since March 2023, Dr. Omur has been contributing her expertise to Northwell Health Hospitals, providing psychiatric consultation to medically ill patients. She is thrilled to take on the Consultation-Liaison attending role at Greenwich Hospital/Yale New Haven Health System, where she is excited to further enhance patient care and contribute positively to the field of psychiatry. Dr. Omur is not just a seasoned professional, but a caring individual dedicated to making a meaningful impact on the well-being of her patients and the broader community. 
My interests are: Psychiatric challenges in context of medical illnesses, Longterm psychotherapy, particularly EMDR and Ego State Therapy, ADHD, PTSD, depression and anxiety"
4,"Kimberly C. Riquelme, DO",https://www.ynhhs.org/physicians/kimberly-c-riquelme,Psychiatry,"Niantic, Groton",YALE,"No biography provided. Are you Kimberly C. Riquelme, DO? Update your profile"
5,"Gustavo A. Angarita Africano, MD",https://www.ynhhs.org/physicians/gustavo-a-angarita-africano,Psychiatry,New Haven,YALE,"Experiencing the impact of the cocaine epidemic in my native Colombia led me to pursue a career dedicated to the improved understanding and treatment of cocaine addiction. Since completing Clinical Training and becoming U.S Board Certified in Adult Psychiatry and Addictions Psychiatry in 2012, I have developed academic interest in the regulation of cocaine self-administration in humans, the validation of Remote Wireless Sensor Network (RWSN) technology for detecting cocaine use, and the role of cocaine-induced deficits in sleep in the putative therapeutic effects of the atypical stimulant, modafinil. Currently; my main career interests lie in the development of neurobiologically informed medication treatments for cocaine dependence, such as the ones based on homeostatic changes on the glutamatergic pathways. As an Assistant Chief of the Clinical Neuroscience Research Unit (CNRU) of the Connecticut Mental Health Center (CMHC), I provide care for the patients who are admitted on our floor in order to participate in research studies or in order to receive treatment for the psychiatric conditions afflicting them. This setting fosters collaboration with other clinicians, researchers, as well as teaching of Medical Students and Psychiatry Residents"
6,"Paula C. Zimbrean, MD",https://www.ynhhs.org/physicians/paula-c-zimbrean,Psychiatry,New Haven,YALE,"Paula Zimbrean, MD, is a psychiatrist who specializes in treating patients with adjustment disorders, mood disorders, posttraumatic stress disorder, drug and alcohol addiction, and delirium. She specializes in evaluation and treatment of patients with co-morbid medical illness and psychiatric symptoms. Among them, she has a special interest in organ transplant candidates and recipients and in organ donors. 

 “One of the most satisfying parts of my job is seeing patients who are hospitalized in critical condition improve and go back to their lives,” Dr. Zimbrean says. “Sometimes I don’t recognize them at a follow-up appointment because they look so much better.”
 “For my organ transplant patients, I often have to reassure them that strong emotions are expected and transient,” Dr. Zimbrean says.
 Her research focuses on intensive psychiatric interventions for hospitalized patients and mental health disorders associated with organ transplantation 
 Dr. Zimbrean is the director of transplant psychiatry services at Yale New Haven Hospital and an associate director of the Consultation Liaison Psychiatry fellowship."
7,"Linda B. Drozdowicz, MD",https://www.ynhhs.org/physicians/linda-b-drozdowicz,Child & Adolescent Psychiatry,New Haven,YALE,"Linda Drozdowicz, MD, is a child and adolescent psychiatrist. Through her role at Yale, she works as a practice consultation-liaison in psychiatry for Blythedale Children's Hospital, an independent specialized hospital for children with complex medical issues in Valhalla, NY. 
“I went into medicine to combine my love of science with a desire to work with people and help them,” Dr. Drozdowicz says. “Once I did a rotation on the child psychiatry inpatient unit at Mayo Clinic, I knew what I wanted to do.”
Dr. Drozdowicz says she loves working with children and teens because they “tell it to you like it is.” She says, “There's nothing better, even when it's hard. We get to help young people try to become the best versions of themselves while also accepting them for who they are.”
In addition to caring for patients, Dr. Drozdowicz is an assistant clinical professor of child psychiatry at Yale Child Study Center, and she has interests in medical education and leadership. She was recently part of a team that used Zoom to teach highly specialized information about sexual health in child and adolescent psychiatry to trainees in programs across the country."
8,"Giovana Silva, APRN",https://www.ynhhs.org/physicians/giovana-silva,Psychiatry,New Haven,YALE,"No biography provided. Are you Giovana Silva, APRN? Update your profile"
9,"Carolyn M. Mazure, PhD",https://www.ynhhs.org/physicians/carolyn-m-mazure,Psychiatry,New Haven,YALE,"Carolyn M. Mazure, PhD, specializes in women's health research and psychiatry.  Dr. Mazure's research explores the mental health care of veterans and West Point graduates, the connections between childhood trauma, brain structure, and bipolar disorder, and the significance of understanding how sex and gender influence health for precision medicine. In recognition of her work, Mazure has received the U.S. Public Health Service Fellowship, the Stephen Fleck Clinician and Teacher Faculty Award, the Marion Spencer Fay Award, and the Elizabeth Blackwell Award.  Mazure is the Norma Weinberg Spungen and Joan Lebson Bildner Professor in Women's Health Research and professor of psychiatry and of psychology at Yale University School of Medicine."
10,"Andy A. Beltran, MD",https://www.ynhhs.org/physicians/andy-a-beltran,Psychiatry,New Haven,YALE,"No biography provided. Are you Andy A. Beltran, MD? Update your profile"
